".y."	 "group1"	 "group2"	 "n1"	 "n2"	 "statistic"	 "p"	 "p.adj"	 "p.adj.signif"	 "y.position"	 "groups"
"1"	 "Reads"	 "A"	 "B"	 "35"	 "31"	 "909"	 "6.96e-07"	 "1.1136e-05"	 "****"	 "93.14116"	 "c(\"A\", \"B\")"
"2"	 "Reads"	 "A"	 "C"	 "35"	 "35"	 "1051"	 "4.14e-08"	 "7.452e-07"	 "****"	 "97.5456222222222"	 "c(\"A\", \"C\")"
"3"	 "Reads"	 "A"	 "D"	 "35"	 "35"	 "1052"	 "3.81e-08"	 "7.239e-07"	 "****"	 "101.950084444444"	 "c(\"A\", \"D\")"
"4"	 "Reads"	 "A"	 "E"	 "35"	 "34"	 "1190"	 "3.57e-20"	 "9.996e-19"	 "****"	 "106.354546666667"	 "c(\"A\", \"E\")"
"5"	 "Reads"	 "A"	 "F"	 "35"	 "33"	 "1035"	 "9.84e-10"	 "2.0664e-08"	 "****"	 "110.759008888889"	 "c(\"A\", \"F\")"
"6"	 "Reads"	 "A"	 "G"	 "35"	 "34"	 "1133"	 "1.46e-13"	 "3.212e-12"	 "****"	 "115.163471111111"	 "c(\"A\", \"G\")"
"7"	 "Reads"	 "A"	 "H"	 "35"	 "28"	 "877"	 "5.92e-09"	 "1.184e-07"	 "****"	 "119.567933333333"	 "c(\"A\", \"H\")"
"8"	 "Reads"	 "B"	 "C"	 "31"	 "35"	 "482"	 "0.443"	 "0.886"	 "ns"	 "123.972395555556"	 "c(\"B\", \"C\")"
"9"	 "Reads"	 "B"	 "D"	 "31"	 "35"	 "754"	 "0.006"	 "0.072"	 "ns"	 "128.376857777778"	 "c(\"B\", \"D\")"
"10"	 "Reads"	 "B"	 "E"	 "31"	 "34"	 "1054"	 "5.89e-19"	 "1.4136e-17"	 "****"	 "132.78132"	 "c(\"B\", \"E\")"
"11"	 "Reads"	 "B"	 "F"	 "31"	 "33"	 "655"	 "0.054"	 "0.306"	 "ns"	 "137.185782222222"	 "c(\"B\", \"F\")"
"12"	 "Reads"	 "B"	 "G"	 "31"	 "34"	 "815"	 "1e-04"	 "0.0015"	 "**"	 "141.590244444444"	 "c(\"B\", \"G\")"
"13"	 "Reads"	 "B"	 "H"	 "31"	 "28"	 "515"	 "0.224"	 "0.672"	 "ns"	 "145.994706666667"	 "c(\"B\", \"H\")"
"14"	 "Reads"	 "C"	 "D"	 "35"	 "35"	 "837"	 "0.008"	 "0.088"	 "ns"	 "150.399168888889"	 "c(\"C\", \"D\")"
"15"	 "Reads"	 "C"	 "E"	 "35"	 "34"	 "1187"	 "2.5e-19"	 "6.25e-18"	 "****"	 "154.803631111111"	 "c(\"C\", \"E\")"
"16"	 "Reads"	 "C"	 "F"	 "35"	 "33"	 "821"	 "0.002"	 "0.028"	 "*"	 "159.208093333333"	 "c(\"C\", \"F\")"
"17"	 "Reads"	 "C"	 "G"	 "35"	 "34"	 "1013"	 "1.02e-07"	 "1.734e-06"	 "****"	 "163.612555555556"	 "c(\"C\", \"G\")"
"18"	 "Reads"	 "C"	 "H"	 "35"	 "28"	 "670"	 "0.012"	 "0.12"	 "ns"	 "168.017017777778"	 "c(\"C\", \"H\")"
"19"	 "Reads"	 "D"	 "E"	 "35"	 "34"	 "456"	 "0.097"	 "0.388"	 "ns"	 "172.42148"	 "c(\"D\", \"E\")"
"20"	 "Reads"	 "D"	 "F"	 "35"	 "33"	 "391"	 "0.022"	 "0.176"	 "ns"	 "176.825942222222"	 "c(\"D\", \"F\")"
"21"	 "Reads"	 "D"	 "G"	 "35"	 "34"	 "432"	 "0.051"	 "0.306"	 "ns"	 "181.230404444444"	 "c(\"D\", \"G\")"
"22"	 "Reads"	 "D"	 "H"	 "35"	 "28"	 "329"	 "0.026"	 "0.182"	 "ns"	 "185.634866666667"	 "c(\"D\", \"H\")"
"23"	 "Reads"	 "E"	 "F"	 "34"	 "33"	 "0"	 "1.41e-19"	 "3.666e-18"	 "****"	 "190.039328888889"	 "c(\"E\", \"F\")"
"24"	 "Reads"	 "E"	 "G"	 "34"	 "34"	 "0"	 "7.03e-20"	 "1.8981e-18"	 "****"	 "194.443791111111"	 "c(\"E\", \"G\")"
"25"	 "Reads"	 "E"	 "H"	 "34"	 "28"	 "0"	 "5.72e-18"	 "1.3156e-16"	 "****"	 "198.848253333333"	 "c(\"E\", \"H\")"
"26"	 "Reads"	 "F"	 "G"	 "33"	 "34"	 "752"	 "0.016"	 "0.144"	 "ns"	 "203.252715555556"	 "c(\"F\", \"G\")"
"27"	 "Reads"	 "F"	 "H"	 "33"	 "28"	 "423"	 "0.58"	 "0.886"	 "ns"	 "207.657177777778"	 "c(\"F\", \"H\")"
"28"	 "Reads"	 "G"	 "H"	 "34"	 "28"	 "279"	 "0.005"	 "0.065"	 "ns"	 "212.06164"	 "c(\"G\", \"H\")"
